ccaa,sexo,sin_matricula
Andalucía,AMBOS SEXOS,13.4
Aragón,AMBOS SEXOS,16.3
Asturias,AMBOS SEXOS,18.2
Islas Baleares,AMBOS SEXOS,22.2
Canarias,AMBOS SEXOS,24.0
Cantabria,AMBOS SEXOS,17.5
Castilla y León,AMBOS SEXOS,18.0
Castilla-La Mancha,AMBOS SEXOS,16.3
Cataluña,AMBOS SEXOS,12.4
Ceuta,AMBOS SEXOS,23.5
Comunidad Valenciana,AMBOS SEXOS,16.6
Extremadura,AMBOS SEXOS,13.4
Galicia,AMBOS SEXOS,18.5
Madrid,AMBOS SEXOS,14.2
Melilla,AMBOS SEXOS,19.9
Murcia,AMBOS SEXOS,21.6
Navarra,AMBOS SEXOS,11.8
País Vasco,AMBOS SEXOS,13.3
La Rioja,AMBOS SEXOS,14.6
