sexo,pais,año,tasa_abandono
Mujeres,España,2000,23.2
Hombres,España,2000,35.0
Total,España,2000,29.1
Mujeres,España,2001,23.1
Hombres,España,2001,36.0
Total,España,2001,29.7
Mujeres,España,2002,24.3
Mujeres,Media UE27,2002,14.6
Hombres,España,2002,37.2
Hombres,Media UE27,2002,19.1
Total,España,2002,30.9
Total,Media UE27,2002,16.9
Mujeres,España,2003,24.8
Mujeres,Media UE27,2003,14.2
Hombres,España,2003,38.4
Hombres,Media UE27,2003,18.6
Total,España,2003,31.7
Total,Media UE27,2003,16.4
Mujeres,España,2004,25.0
Mujeres,Media UE27,2004,13.5
Hombres,España,2004,39.0
Hombres,Media UE27,2004,18.4
Total,España,2004,32.2
Total,Media UE27,2004,16.0
Mujeres,España,2005,24.7
Mujeres,Media UE27,2005,13.4
Hombres,España,2005,37.0
Hombres,Media UE27,2005,17.7
Total,España,2005,31.0
Total,Media UE27,2005,15.6
Mujeres,España,2006,23.6
Mujeres,Media UE27,2006,12.9
Hombres,España,2006,36.7
Hombres,Media UE27,2006,17.4
Total,España,2006,30.3
Total,Media UE27,2006,15.2
Mujeres,España,2007,24.7
Mujeres,Media UE27,2007,12.4
Hombres,España,2007,36.6
Hombres,Media UE27,2007,16.9
Total,España,2007,30.8
Total,Media UE27,2007,14.7
Mujeres,España,2008,25.1
Mujeres,Media UE27,2008,12.2
Hombres,España,2008,38.0
Hombres,Media UE27,2008,16.4
Total,España,2008,31.7
Total,Media UE27,2008,14.3
Mujeres,España,2009,24.1
Mujeres,Media UE27,2009,12.0
Hombres,España,2009,37.4
Hombres,Media UE27,2009,16.0
Total,España,2009,30.9
Total,Media UE27,2009,14.0
Mujeres,España,2010,22.6
Mujeres,Media UE27,2010,11.6
Hombres,España,2010,33.6
Hombres,Media UE27,2010,15.8
Total,España,2010,28.2
Total,Media UE27,2010,13.8
Mujeres,España,2011,21.5
Mujeres,Media UE27,2011,11.1
Hombres,España,2011,31.0
Hombres,Media UE27,2011,15.1
Total,España,2011,26.3
Total,Media UE27,2011,13.2
Mujeres,España,2012,20.5
Mujeres,Media UE27,2012,10.6
Hombres,España,2012,28.9
Hombres,Media UE27,2012,14.5
Total,España,2012,24.7
Total,Media UE27,2012,12.6
Mujeres,España,2013,19.8
Mujeres,Media UE27,2013,10.0
Hombres,España,2013,27.2
Hombres,Media UE27,2013,13.6
Total,España,2013,23.6
Total,Media UE27,2013,11.8
Mujeres,España,2014,18.1
Mujeres,Media UE27,2014,9.4
Hombres,España,2014,25.6
Hombres,Media UE27,2014,12.7
Total,España,2014,21.9
Total,Media UE27,2014,11.1
Mujeres,España,2015,15.8
Mujeres,Media UE27,2015,9.4
Hombres,España,2015,24.0
Hombres,Media UE27,2015,12.5
Total,España,2015,20.0
Total,Media UE27,2015,11.0
Mujeres,España,2016,15.1
Mujeres,Media UE27,2016,9.1
Hombres,España,2016,22.7
Hombres,Media UE27,2016,12.1
Total,España,2016,19.0
Total,Media UE27,2016,10.6
Mujeres,España,2017,14.5
Mujeres,Media UE27,2017,8.9
Hombres,España,2017,21.8
Hombres,Media UE27,2017,12.1
Total,España,2017,18.3
Total,Media UE27,2017,10.5
Mujeres,España,2018,14.0
Mujeres,Media UE27,2018,8.7
Hombres,España,2018,21.7
Hombres,Media UE27,2018,12.1
Total,España,2018,17.9
Total,Media UE27,2018,10.5
Mujeres,España,2019,13.0
Mujeres,Media UE27,2019,8.4
Hombres,España,2019,21.4
Hombres,Media UE27,2019,11.8
Total,España,2019,17.3
Total,Media UE27,2019,10.1
Mujeres,España,2020,11.6
Mujeres,Media UE27,2020,8.1
Hombres,España,2020,20.2
Hombres,Media UE27,2020,11.9
Total,España,2020,16.0
Total,Media UE27,2020,10.0
Mujeres,España,2021,9.7
Mujeres,Media UE27,2021,7.9
Hombres,España,2021,16.7
Hombres,Media UE27,2021,11.5
Total,España,2021,13.3
Total,Media UE27,2021,9.7
Mujeres,España,2022,11.1
Mujeres,Media UE27,2022,8.0
Hombres,España,2022,16.7
Hombres,Media UE27,2022,11.1
Total,España,2022,13.9
Total,Media UE27,2022,9.6
Mujeres,España,2023,11.3
Mujeres,Media UE27,2023,7.7
Hombres,España,2023,16.0
Hombres,Media UE27,2023,11.3
Total,España,2023,13.7
Total,Media UE27,2023,9.6
Mujeres,España,2024,10.0
Mujeres,Media UE27,2024,7.7
Hombres,España,2024,15.8
Hombres,Media UE27,2024,11.0
Total,España,2024,13.0
Total,Media UE27,2024,9.4
Mujeres,España,2025,9.5
Mujeres,Media UE27,2025,7.5
Hombres,España,2025,15.9
Hombres,Media UE27,2025,10.6
Total,España,2025,12.8
Total,Media UE27,2025,9.1
