Comunidad autónoma;Curso de ingreso;Años de duración;Sexo;Total
TOTAL;2021-2022;TOTAL;AMBOS SEXOS;..
TOTAL;2021-2022;TOTAL;Hombres;..
TOTAL;2021-2022;TOTAL;Mujeres;..
TOTAL;2021-2022;2 años;AMBOS SEXOS;52,0
TOTAL;2021-2022;2 años;Hombres;46,3
TOTAL;2021-2022;2 años;Mujeres;59,6
TOTAL;2021-2022;3 años;AMBOS SEXOS;..
TOTAL;2021-2022;3 años;Hombres;..
TOTAL;2021-2022;3 años;Mujeres;..
TOTAL;2021-2022;4 años;AMBOS SEXOS;..
TOTAL;2021-2022;4 años;Hombres;..
TOTAL;2021-2022;4 años;Mujeres;..
TOTAL;2020-2021;TOTAL;AMBOS SEXOS;..
TOTAL;2020-2021;TOTAL;Hombres;..
TOTAL;2020-2021;TOTAL;Mujeres;..
TOTAL;2020-2021;2 años;AMBOS SEXOS;50,6
TOTAL;2020-2021;2 años;Hombres;45,2
TOTAL;2020-2021;2 años;Mujeres;58,1
TOTAL;2020-2021;3 años;AMBOS SEXOS;12,0
TOTAL;2020-2021;3 años;Hombres;12,9
TOTAL;2020-2021;3 años;Mujeres;10,9
TOTAL;2020-2021;4 años;AMBOS SEXOS;..
TOTAL;2020-2021;4 años;Hombres;..
TOTAL;2020-2021;4 años;Mujeres;..
TOTAL;2019-2020;TOTAL;AMBOS SEXOS;68,6
TOTAL;2019-2020;TOTAL;Hombres;64,3
TOTAL;2019-2020;TOTAL;Mujeres;74,5
TOTAL;2019-2020;2 años;AMBOS SEXOS;51,7
TOTAL;2019-2020;2 años;Hombres;45,7
TOTAL;2019-2020;2 años;Mujeres;59,8
TOTAL;2019-2020;3 años;AMBOS SEXOS;12,9
TOTAL;2019-2020;3 años;Hombres;13,9
TOTAL;2019-2020;3 años;Mujeres;11,5
TOTAL;2019-2020;4 años;AMBOS SEXOS;4,1
TOTAL;2019-2020;4 años;Hombres;4,7
TOTAL;2019-2020;4 años;Mujeres;3,2
TOTAL;2018-2019;TOTAL;AMBOS SEXOS;67,1
TOTAL;2018-2019;TOTAL;Hombres;62,8
TOTAL;2018-2019;TOTAL;Mujeres;72,9
TOTAL;2018-2019;2 años;AMBOS SEXOS;46,1
TOTAL;2018-2019;2 años;Hombres;40,7
TOTAL;2018-2019;2 años;Mujeres;53,4
TOTAL;2018-2019;3 años;AMBOS SEXOS;16,3
TOTAL;2018-2019;3 años;Hombres;16,7
