Curso de ingreso;Comunidad autónoma;Sexo;Años desde el ingreso;Situación educativa;Total
2021-2022;TOTAL;AMBOS SEXOS;2º año;TOTAL;100,0
2021-2022;TOTAL;AMBOS SEXOS;2º año;Terminan años anteriores;.
2021-2022;TOTAL;AMBOS SEXOS;2º año;Matriculado mismo ciclo;76,6
2021-2022;TOTAL;AMBOS SEXOS;2º año;Matriculados otro ciclo;6,0
2021-2022;TOTAL;AMBOS SEXOS;2º año;Bachillerato;0,9
2021-2022;TOTAL;AMBOS SEXOS;2º año;Otras Enseñanzas;0,7
2021-2022;TOTAL;AMBOS SEXOS;2º año;Sin Matricula;15,8
2021-2022;TOTAL;AMBOS SEXOS;3er año;TOTAL;100,0
2021-2022;TOTAL;AMBOS SEXOS;3er año;Terminan años anteriores;52,0
2021-2022;TOTAL;AMBOS SEXOS;3er año;Matriculado mismo ciclo;17,2
2021-2022;TOTAL;AMBOS SEXOS;3er año;Matriculados otro ciclo;6,5
2021-2022;TOTAL;AMBOS SEXOS;3er año;Bachillerato;0,8
2021-2022;TOTAL;AMBOS SEXOS;3er año;Otras Enseñanzas;1,4
2021-2022;TOTAL;AMBOS SEXOS;3er año;Sin Matricula;22,1
2021-2022;TOTAL;AMBOS SEXOS;4º año;TOTAL;..
2021-2022;TOTAL;AMBOS SEXOS;4º año;Terminan años anteriores;..
2021-2022;TOTAL;AMBOS SEXOS;4º año;Matriculado mismo ciclo;..
2021-2022;TOTAL;AMBOS SEXOS;4º año;Matriculados otro ciclo;..
2021-2022;TOTAL;AMBOS SEXOS;4º año;Bachillerato;..
2021-2022;TOTAL;AMBOS SEXOS;4º año;Otras Enseñanzas;..
2021-2022;TOTAL;AMBOS SEXOS;4º año;Sin Matricula;..
2021-2022;TOTAL;AMBOS SEXOS;5º año;TOTAL;..
2021-2022;TOTAL;AMBOS SEXOS;5º año;Terminan años anteriores;..
2021-2022;TOTAL;AMBOS SEXOS;5º año;Matriculado mismo ciclo;..
2021-2022;TOTAL;AMBOS SEXOS;5º año;Matriculados otro ciclo;..
2021-2022;TOTAL;AMBOS SEXOS;5º año;Bachillerato;..
2021-2022;TOTAL;AMBOS SEXOS;5º año;Otras Enseñanzas;..
2021-2022;TOTAL;AMBOS SEXOS;5º año;Sin Matricula;..
2021-2022;TOTAL;Hombres;2º año;TOTAL;100,0
2021-2022;TOTAL;Hombres;2º año;Terminan años anteriores;.
2021-2022;TOTAL;Hombres;2º año;Matriculado mismo ciclo;74,0
2021-2022;TOTAL;Hombres;2º año;Matriculados otro ciclo;7,4
2021-2022;TOTAL;Hombres;2º año;Bachillerato;0,9
2021-2022;TOTAL;Hombres;2º año;Otras Enseñanzas;0,7
2021-2022;TOTAL;Hombres;2º año;Sin Matricula;17,0
2021-2022;TOTAL;Hombres;3er año;TOTAL;100,0
2021-2022;TOTAL;Hombres;3er año;Terminan años anteriores;46,3
2021-2022;TOTAL;Hombres;3er año;Matriculado mismo ciclo;19,4
2021-2022;TOTAL;Hombres;3er año;Matriculados otro ciclo;7,8
2021-2022;TOTAL;Hombres;3er año;Bachillerato;0,9
2021-2022;TOTAL;Hombres;3er año;Otras Enseñanzas;1,4
2021-2022;TOTAL;Hombres;3er año;Sin Matricula;24,3
2021-2022;TOTAL;Hombres;4º año;TOTAL;..
2021-2022;TOTAL;Hombres;4º año;Terminan años anteriores;..
2021-2022;TOTAL;Hombres;4º año;Matriculado mismo ciclo;..
2021-2022;TOTAL;Hombres;4º año;Matriculados otro ciclo;..
2021-2022;TOTAL;Hombres;4º año;Bachillerato;..
2021-2022;TOTAL;Hombres;4º año;Otras Enseñanzas;..
2021-2022;TOTAL;Hombres;4º año;Sin Matricula;..
2021-2022;TOTAL;Hombres;5º año;TOTAL;..
2021-2022;TOTAL;Hombres;5º año;Terminan años anteriores;..
2021-2022;TOTAL;Hombres;5º año;Matriculado mismo ciclo;..
2021-2022;TOTAL;Hombres;5º año;Matriculados otro ciclo;..
2021-2022;TOTAL;Hombres;5º año;Bachillerato;..
2021-2022;TOTAL;Hombres;5º año;Otras Enseñanzas;..
2021-2022;TOTAL;Hombres;5º año;Sin Matricula;..
2021-2022;TOTAL;Mujeres;2º año;TOTAL;100,0
2021-2022;TOTAL;Mujeres;2º año;Terminan años anteriores;.
2021-2022;TOTAL;Mujeres;2º año;Matriculado mismo ciclo;80,2
2021-2022;TOTAL;Mujeres;2º año;Matriculados otro ciclo;4,1
2021-2022;TOTAL;Mujeres;2º año;Bachillerato;0,9
2021-2022;TOTAL;Mujeres;2º año;Otras Enseñanzas;0,7
2021-2022;TOTAL;Mujeres;2º año;Sin Matricula;14,2
2021-2022;TOTAL;Mujeres;3er año;TOTAL;100,0
2021-2022;TOTAL;Mujeres;3er año;Terminan años anteriores;59,6
2021-2022;TOTAL;Mujeres;3er año;Matriculado mismo ciclo;14,3
2021-2022;TOTAL;Mujeres;3er año;Matriculados otro ciclo;4,9
2021-2022;TOTAL;Mujeres;3er año;Bachillerato;0,7
2021-2022;TOTAL;Mujeres;3er año;Otras Enseñanzas;1,4
2021-2022;TOTAL;Mujeres;3er año;Sin Matricula;19,1
2021-2022;TOTAL;Mujeres;4º año;TOTAL;..
2021-2022;TOTAL;Mujeres;4º año;Terminan años anteriores;..
2021-2022;TOTAL;Mujeres;4º año;Matriculado mismo ciclo;..
2021-2022;TOTAL;Mujeres;4º año;Matriculados otro ciclo;..
2021-2022;TOTAL;Mujeres;4º año;Bachillerato;..
2021-2022;TOTAL;Mujeres;4º año;Otras Enseñanzas;..
2021-2022;TOTAL;Mujeres;4º año;Sin Matricula;..
2021-2022;TOTAL;Mujeres;5º año;TOTAL;..
2021-2022;TOTAL;Mujeres;5º año;Terminan años anteriores;..
2021-2022;TOTAL;Mujeres;5º año;Matriculado mismo ciclo;..
2021-2022;TOTAL;Mujeres;5º año;Matriculados otro ciclo;..
2021-2022;TOTAL;Mujeres;5º año;Bachillerato;..
2021-2022;TOTAL;Mujeres;5º año;Otras Enseñanzas;..
2021-2022;TOTAL;Mujeres;5º año;Sin Matricula;..
2021-2022;Andalucía;AMBOS SEXOS;2º año;TOTAL;100,0
2021-2022;Andalucía;AMBOS SEXOS;2º año;Terminan años anteriores;.
2021-2022;Andalucía;AMBOS SEXOS;2º año;Matriculado mismo ciclo;80,1
2021-2022;Andalucía;AMBOS SEXOS;2º año;Matriculados otro ciclo;5,0
2021-2022;Andalucía;AMBOS SEXOS;2º año;Bachillerato;1,1
2021-2022;Andalucía;AMBOS SEXOS;2º año;Otras Enseñanzas;0,5
2021-2022;Andalucía;AMBOS SEXOS;2º año;Sin Matricula;13,4
2021-2022;Andalucía;AMBOS SEXOS;3er año;TOTAL;100,0
2021-2022;Andalucía;AMBOS SEXOS;3er año;Terminan años anteriores;53,5
2021-2022;Andalucía;AMBOS SEXOS;3er año;Matriculado mismo ciclo;20,1
2021-2022;Andalucía;AMBOS SEXOS;3er año;Matriculados otro ciclo;5,4
2021-2022;Andalucía;AMBOS SEXOS;3er año;Bachillerato;1,1
2021-2022;Andalucía;AMBOS SEXOS;3er año;Otras Enseñanzas;0,5
2021-2022;Andalucía;AMBOS SEXOS;3er año;Sin Matricula;19,3
2021-2022;Andalucía;AMBOS SEXOS;4º año;TOTAL;..
2021-2022;Andalucía;AMBOS SEXOS;4º año;Terminan años anteriores;..
2021-2022;Andalucía;AMBOS SEXOS;4º año;Matriculado mismo ciclo;..
2021-2022;Andalucía;AMBOS SEXOS;4º año;Matriculados otro ciclo;..
2021-2022;Andalucía;AMBOS SEXOS;4º año;Bachillerato;..
2021-2022;Andalucía;AMBOS SEXOS;4º año;Otras Enseñanzas;..
2021-2022;Andalucía;AMBOS SEXOS;4º año;Sin Matricula;..
2021-2022;Andalucía;AMBOS SEXOS;5º año;TOTAL;..
2021-2022;Andalucía;AMBOS SEXOS;5º año;Terminan años anteriores;..
2021-2022;Andalucía;AMBOS SEXOS;5º año;Matriculado mismo ciclo;..
2021-2022;Andalucía;AMBOS SEXOS;5º año;Matriculados otro ciclo;..
